,country,weight_muslim,religion,lwr_index,rwr_index,gex_index,polalien,PVJ13,PVJ32,lrscale,conspiracy,demidea,authority,lwe11,lwe23,lwe27,F8A2_1,lwe20,lwe8,rwe4,F11_4A4_1,rwe12,F11_4A2_1,rwe14,rwe15,rwe17,F11_4A1_1,F6_3A5_1,F6_4A4_1,F6_4A3_1,F6_4A1_1,F6A4_1,vote_all
0,1.0,0.401199817657471,3.0,,,,2.7142857142857144,2.5,2.4,5.0,5.4,5.0,3.0833333333333335,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0
1,1.0,1.0991622209549,5.0,-1.327,-0.9675,-0.474,2.5714285714285716,1.0,1.0,5.0,2.6,6.0,1.75,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0
2,1.0,1.0991622209549,5.0,0.276,0.9057499999999999,0.368,4.4,2.0,3.0,7.0,7.8,,2.8333333333333335,,,,4.0,,,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,,6.0
3,1.0,1.0991622209549,5.0,-0.019000000000000003,-0.89625,-0.216,3.5714285714285716,1.5,2.4,7.0,7.2,5.0,2.5,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0
4,1.0,1.0991622209549,4.0,0.622,-0.13575,-0.579,4.714285714285714,1.0,2.4,2.0,8.25,6.0,2.4166666666666665,1.0,4.0,,5.0,3.0,5.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0
5,1.0,1.0991622209549,1.0,-1.4645,0.112,-0.712,3.4285714285714284,1.3333333333333333,1.2,7.0,5.8,5.0,2.5833333333333335,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0991622209549,1.0,-0.9964999999999999,0.54625,-0.216,4.857142857142857,1.0,1.0,7.0,4.4,5.0,2.1666666666666665,1.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,,2.0,,2.0,3.0,1.0,1.0,2.0,2.0,1.0
7,1.0,1.0991622209549,2.0,-0.447,-1.0865,-0.239,2.0,1.0,2.0,9.0,2.4,6.0,2.6666666666666665,2.0,2.0,2.0,2.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
8,1.0,1.0991622209549,5.0,0.4165,0.1715,-0.263,4.714285714285714,1.3333333333333333,2.2,7.0,8.0,4.0,2.4166666666666665,2.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0
9,1.0,1.0991622209549,5.0,-0.21650000000000003,-0.629,-0.077,3.5714285714285716,1.0,1.0,6.0,2.4,6.0,3.4166666666666665,2.0,1.0,,5.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0
